GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SmartEat,controller.GestioneProfilo,UpdateProfile,18,245,1,17,6,74,3,11,2,3
SmartEat,controller.GestioneProfilo,ShowProfile,73,0,2,0,19,0,5,0,4,0
SmartEat,controller.GestioneProfilo,toUpdateProfile,17,0,0,0,7,0,3,0,3,0
SmartEat,controller,AddPietanza,179,0,4,0,42,0,7,0,5,0
SmartEat,controller,toAddPietanza,57,0,4,0,14,0,5,0,3,0
SmartEat,controller,toAddMenu,77,0,4,0,20,0,6,0,4,0
SmartEat,controller,AdminUtentiArea,13,91,0,8,5,22,2,7,2,3
SmartEat,controller,ToggleMenu,13,111,0,10,5,28,2,8,2,3
SmartEat,controller,UpdateProfile,18,245,1,17,6,74,3,11,2,3
SmartEat,controller,AdminPietanzeArea,13,67,0,4,4,16,2,5,2,3
SmartEat,controller,Login,13,155,0,12,5,39,2,9,2,3
SmartEat,controller,ShowPurchases,100,0,4,0,25,0,7,0,5,0
SmartEat,controller,UpdateMensa,13,204,0,14,5,53,2,10,2,3
SmartEat,controller,Logout,23,0,0,0,9,0,3,0,3,0
SmartEat,controller,DeleteMenu,13,92,0,8,5,25,2,7,2,3
SmartEat,controller,AdminMensaArea,13,67,0,4,5,16,2,5,2,3
SmartEat,controller,ShowInfoMenu,97,0,2,0,27,0,6,0,5,0
SmartEat,controller,AcceptUtente,18,115,0,10,6,31,2,8,2,3
SmartEat,controller,toHome,46,0,0,0,13,0,3,0,3,0
SmartEat,controller,AdminArea,5,52,0,4,2,12,1,4,1,2
SmartEat,controller,ShowPietanzaDetails,88,0,4,0,22,0,7,0,5,0
SmartEat,controller,SignUp,13,242,1,21,5,77,3,13,2,3
SmartEat,controller,AdminStatsArea,18,142,1,13,6,36,3,9,2,3
SmartEat,controller,FileServlet.Range,22,0,0,0,6,0,1,0,1,0
SmartEat,controller,DeletePurchase,211,0,8,0,50,0,9,0,5,0
SmartEat,controller,BuyMenu,28,248,0,18,8,63,2,12,2,3
SmartEat,controller,AddMenu,14,200,0,8,6,48,2,7,2,3
SmartEat,controller,toBuyMenu,73,0,0,0,21,0,4,0,4,0
SmartEat,controller,ShowAllMenus,86,0,6,0,24,0,8,0,5,0
SmartEat,controller,DeletePietanza,13,93,0,8,5,26,2,7,2,3
SmartEat,controller,ShowProfile,73,0,2,0,19,0,5,0,4,0
SmartEat,controller,AdminMenuArea,13,67,0,4,5,16,2,5,2,3
SmartEat,controller,toUpdateProfile,17,0,0,0,7,0,3,0,3,0
SmartEat,controller,DeleteUtente,87,0,4,0,24,0,7,0,5,0
SmartEat,controller,toSignUp,17,0,0,0,7,0,3,0,3,0
SmartEat,controller,ShowInfoPurchase,118,0,4,0,31,0,7,0,5,0
SmartEat,controller,ShowMenuDetails,86,0,4,0,22,0,7,0,5,0
SmartEat,controller,toAcceptUtente,13,91,0,8,5,22,2,7,2,3
SmartEat,model.utente,RuoloStandard,2,5,0,0,1,2,1,2,1,2
SmartEat,model.utente,UtenteDAO,99,484,2,14,27,121,3,14,1,8
SmartEat,model.utente,RuoloAdmin,2,5,0,0,1,2,1,2,1,2
SmartEat,model.utente,Utente,6,103,0,0,2,28,0,23,0,23
SmartEat,controller.Home,toHome,46,0,0,0,13,0,3,0,3,0
SmartEat,model.pietanza,PietanzaDAO,29,236,1,7,9,62,1,9,0,6
SmartEat,model.pietanza,Pietanza,2,50,0,0,1,14,1,14,1,14
SmartEat,controller.GestioneMenu,DeleteMenu,13,92,0,8,5,25,2,7,2,3
SmartEat,controller.GestioneMenu,toAddMenu,77,0,4,0,20,0,6,0,4,0
SmartEat,controller.GestioneMenu,ToggleMenu,13,111,0,10,5,28,2,8,2,3
SmartEat,controller.GestioneMenu,ShowMenuDetails,86,0,4,0,22,0,7,0,5,0
SmartEat,controller.GestioneMenu,AddMenu,14,200,0,8,6,48,2,7,2,3
SmartEat,controller.GestioneMenu,AdminMenuArea,13,67,0,4,5,16,2,5,2,3
SmartEat,controller.StatisticheAcquisti,AdminStatsArea,18,142,1,13,6,36,3,9,2,3
SmartEat,controller.RichiestaDiRegistrazione,SignUp,13,242,1,21,5,77,3,13,2,3
SmartEat,controller.RichiestaDiRegistrazione,toSignUp,17,0,0,0,7,0,3,0,3,0
SmartEat,model.acquisto,AcquistoDAO,29,210,1,7,9,60,1,9,0,6
SmartEat,model.acquisto,Acquisto,7,31,0,0,2,9,2,9,2,9
SmartEat,model.utils,Check,30,551,14,88,7,162,12,50,1,10
